DAT,?¥Î??®ÎèÑÍ¥ÄÏ∏°Ïπò,?¥Î??µÎèÑÍ¥ÄÏ∏°Ïπò,co2Í¥ÄÏ∏°Ïπò,ecÍ¥ÄÏ∏°Ïπò,?úÍ∞Ñ?πÎ∂ÑÎ¨¥Îüâ,"?ºÍ∞Ñ?ÑÏ†ÅÎ∂ÑÎ¨¥??,?úÍ∞Ñ?πÎ∞±?âÍ¥ë??",?ºÍ∞Ñ?ÑÏ†ÅÎ∞±ÏÉâÍ¥ëÎüâ,"?úÍ∞Ñ?πÏ†Å?âÍ¥ë??,?ºÍ∞Ñ?ÑÏ†Å?ÅÏÉâÍ¥ëÎüâ""","?úÍ∞Ñ?πÏ≤≠?âÍ¥ë??,?ºÍ∞Ñ?ÑÏ†ÅÏ≤?ÉâÍ¥ëÎüâ""",?úÍ∞Ñ?πÏ¥ùÍ¥ëÎüâ,"?ºÍ∞Ñ?ÑÏ†ÅÏ¥ùÍ¥ë??,predicted_weight_g""",case,,,,
17,18.63013882,59.66112862,683.1061111,2.010297836,199.2775,4782.66,8611.653825,206679.6918,729.00835,17496.2004,1245.3675,29888.82,10586.02968,254064.7122,13.16308735,3
18,17.21960293,60.13898348,420.4671086,2.073130688,198.9070833,4773.77,8616.166054,206787.9853,729.42205,17506.1292,1244.975875,29879.421,10590.56398,254173.5355,14.37072689,3
19,16.80038448,60.6391945,402.3138889,2.111454034,206.4029167,4953.67,8600.824475,206419.7874,729.0773,17497.8552,1243.866271,29852.7905,10573.76805,253770.4331,15.78730163,3
20,16.95434571,62.15562485,396.2682018,2.144872775,172.3320833,4135.97,8586.1275,206067.06,728.04305,17473.0332,1240.733271,29777.5985,10554.90382,253317.6917,17.83987318,3
21,16.7956746,64.33768544,386.8712302,2.185617759,187.1758333,4492.22,8615.392529,206769.4207,730.4563,17530.9512,1244.780063,29874.7215,10590.62889,254175.0934,20.24614263,3
22,16.96619817,64.6506087,450.8644892,2.222825411,220.5454167,5293.09,8614.232242,206741.5738,728.9394,17494.5456,1244.845333,29876.288,10588.01698,254112.4074,23.0647932,3
23,18.0561988,65.25309533,673.620895,2.254836012,180.0504167,4321.21,8610.622458,206654.939,729.6289,17511.0936,1246.15075,29907.618,10586.40211,254073.6506,26.89254393,3
24,17.82472692,66.92884897,630.5971983,2.314322341,178.65375,4287.69,8600.695554,206416.6933,729.55995,17509.4388,1245.954938,29902.9185,10576.21044,253829.0506,30.72029465,3
25,16.99417028,67.92108497,455.5333333,2.383187592,194.4608333,4667.06,8600.566633,206413.5992,730.24945,17525.9868,1243.670458,29848.091,10574.48654,253787.677,35.27163062,3
26,18.19790835,69.58203384,519.1125353,2.431992525,193.12125,4634.91,8614.747925,206753.9502,731.4216,17554.1184,1246.15075,29907.618,10592.32028,254215.6866,39.8473296,3
27,20.56046031,70.90797549,853.2873355,2.491402682,204.3679167,4904.83,8614.876846,206757.0443,731.4216,17554.1184,1246.085479,29906.0515,10592.38393,254217.2142,44.32489089,3
